
Px,Py,Gx,Gy
0.463227,0.607415,0.6,0.6
0.725869,0.571946,0.709997,0.600019
0.975123,0.420608,0.819984,0.600095
1.00844,0.708942,0.929956,0.600266
1.06858,0.728897,1.0399,0.60057
1.28129,0.696447,1.14982,0.601045
1.39439,0.659794,1.25971,0.601728
1.4413,0.742132,1.36955,0.602657
1.54689,0.751792,1.47934,0.60387
1.65064,0.773392,1.58908,0.605405
1.75325,0.759297,1.69875,0.607297
1.9421,0.671398,1.80834,0.609585
2.06641,0.658351,1.91786,0.612305
2.1555,0.737913,2.02728,0.615494
2.25642,0.715472,2.13661,0.619189
2.33211,0.631554,2.24582,0.623424
2.41381,0.604723,2.35492,0.628237
2.50245,0.624248,2.46389,0.633662
2.59342,0.585309,2.57271,0.639735
2.74334,0.647358,2.68138,0.646489
2.88074,0.659634,2.78989,0.653961
2.97502,0.68246,2.89821,0.662183
3.06784,0.675663,3.00635,0.67119
3.16603,0.721329,3.11428,0.681013
3.26283,0.760867,3.22199,0.691687
3.40069,0.82064,3.32946,0.703242
3.51252,0.804141,3.43667,0.71571
3.6444,0.73092,3.54362,0.729122
3.76261,0.705466,3.65028,0.743508
3.87847,0.730629,3.75663,0.758898
3.98543,0.755564,3.86265,0.77532
4.08954,0.717162,3.96833,0.792804
4.16897,0.763928,4.07364,0.811376
4.26713,0.804768,4.17857,0.831064
4.37789,0.776295,4.28307,0.851892
4.49178,0.833283,4.38715,0.873887
4.56885,0.849798,4.49077,0.897072
4.68944,0.926434,4.5939,0.921472
4.79492,0.97432,4.69652,0.947107
4.86664,0.979788,4.7986,0.974001
4.95455,0.992967,4.90012,1.00217
5.04155,1.04508,5.00105,1.03164
5.11093,1.08434,5.10136,1.06243
5.23293,1.11167,5.20102,1.09455
5.34412,1.15172,5.3,1.12802
5.43556,1.15824,5.39826,1.16285
5.50099,1.21464,5.49579,1.19906
5.58896,1.28015,5.59253,1.23667
5.62257,1.29594,5.68847,1.27567
5.72789,1.31949,5.78356,1.31609
5.82989,1.35908,5.87778,1.35793
5.94242,1.35998,5.97108,1.4012
6.06789,1.45919,6.06344,1.44591
6.17739,1.52645,6.15481,1.49206
6.26875,1.51935,6.24516,1.53965
6.3972,1.54706,6.33445,1.58868
6.50647,1.60311,6.42265,1.63917
6.60226,1.68215,6.50972,1.6911
6.72734,1.72702,6.59561,1.74447
6.79981,1.78676,6.6803,1.79928
6.85487,1.85706,6.76374,1.85552
6.89108,1.92283,6.8459,1.91319
6.91979,2.06462,6.92672,1.97228
7.01379,2.15164,7.00619,2.03278
7.07213,2.26189,7.08425,2.09468
7.15135,2.32703,7.16087,2.15795
7.24533,2.30669,7.23601,2.2226
7.33552,2.38431,7.30962,2.2886
7.39201,2.41925,7.38168,2.35593
7.48023,2.456,7.45214,2.42458
7.57257,2.54759,7.52097,2.49452
7.64868,2.63897,7.58812,2.56573
7.72116,2.78151,7.65355,2.63819
7.78286,2.85426,7.71724,2.71186
7.87563,2.78994,7.77914,2.78674
7.98844,2.84683,7.83923,2.86277
8.06606,2.90778,7.89745,2.93994
8.14353,3.00934,7.95378,3.01821
8.18994,3.05118,8.00819,3.09755
8.21331,3.10997,8.06063,3.17792
8.21207,3.26352,8.11108,3.25929
8.2641,3.38887,8.15951,3.34161
8.23918,3.51685,8.20588,3.42486
8.28301,3.57909,8.25016,3.50899
8.37788,3.7283,8.29233,3.59395
8.37892,3.83254,8.33236,3.67971
8.36639,3.99698,8.37022,3.76622
8.43075,4.05936,8.40588,3.85343
8.51121,4.00031,8.43932,3.9413
8.57442,4.04909,8.47052,4.02978
8.59987,4.11568,8.49946,4.11882
8.63031,4.16321,8.52611,4.20837
8.65314,4.18902,8.55045,4.29838
8.68906,4.26409,8.57248,4.3888
8.68885,4.42269,8.59216,4.47957
8.67789,4.52182,8.60949,4.57064
8.65382,4.6258,8.62445,4.66196
8.67758,4.71039,8.63703,4.75348
8.68673,4.75393,8.64723,4.84513
8.71025,4.82032,8.65502,4.93685
